"data_group","file_path","source_kind","suite","k","tag","line_no","key","value"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k2.log","meta","A_FP_ON_MQA_ON","2","META","15","serve_cmd","vllm serve /mnt/ky2307909/siyuan.tong/Qwen3-8B --gpu-memory-utilization 0.90 --max-model-len 8192 --served-model-name qwen3-8B --trust-remote-code --port 8000 --host 127.0.0.1 --enforce-eager --speculative-config \{\""method\"":\""draft_model\""\,\""model\"":\""/mnt/ky2307909/siyuan.tong/Qwen3-0-6B\""\,\""num_speculative_tokens\"":2\} "
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k2.log","meta","A_FP_ON_MQA_ON","2","META","16","bench_cmd","vllm bench serve --model qwen3-8B --tokenizer /mnt/ky2307909/siyuan.tong/Qwen3-8B --base-url http://127.0.0.1:8000 --endpoint-type vllm --dataset-name sharegpt --dataset-path /mnt/ky2307909/siyuan.tong/dataset/ShareGPT_V3_unfiltered_cleaned_split.json --num-prompts 200 --request-rate 16 --trust-remote-code "
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k4.log","meta","A_FP_ON_MQA_ON","4","META","1","date","2026-03-11 18:33:29"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k4.log","meta","A_FP_ON_MQA_ON","4","META","2","suite","A_FP_ON_MQA_ON"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k4.log","meta","A_FP_ON_MQA_ON","4","META","3","k","4"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k4.log","meta","A_FP_ON_MQA_ON","4","META","4","MODEL_PATH","/mnt/ky2307909/siyuan.tong/Qwen3-8B"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k4.log","meta","A_FP_ON_MQA_ON","4","META","5","DRAFT_MODEL_PATH","/mnt/ky2307909/siyuan.tong/Qwen3-0-6B"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k4.log","meta","A_FP_ON_MQA_ON","4","META","6","DATASET_PATH","/mnt/ky2307909/siyuan.tong/dataset/ShareGPT_V3_unfiltered_cleaned_split.json"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k4.log","meta","A_FP_ON_MQA_ON","4","META","7","HOST","127.0.0.1"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k4.log","meta","A_FP_ON_MQA_ON","4","META","7","PORT","8000"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k4.log","meta","A_FP_ON_MQA_ON","4","META","8","NUM_PROMPTS","200"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k4.log","meta","A_FP_ON_MQA_ON","4","META","8","REQUEST_RATE","16"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k4.log","meta","A_FP_ON_MQA_ON","4","META","9","VLLM_ASCEND_SPEC_GPU_MULTI_STEP_BACKENDS","FLASH_ATTN,ASCEND"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k4.log","meta","A_FP_ON_MQA_ON","4","META","10","VLLM_ASCEND_SPEC_MQA_BACKENDS","FLASH_ATTN,ASCEND"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k4.log","meta","A_FP_ON_MQA_ON","4","META","11","VLLM_ASCEND_BASE_STAGE_LOG_ENABLE","1"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k4.log","meta","A_FP_ON_MQA_ON","4","META","12","VLLM_ASCEND_BASE_STAGE_LOG_INTERVAL","50"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k4.log","meta","A_FP_ON_MQA_ON","4","META","13","VLLM_ASCEND_RUNNER_STAGE_LOG_ENABLE","1"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k4.log","meta","A_FP_ON_MQA_ON","4","META","14","VLLM_ASCEND_RUNNER_STAGE_LOG_INTERVAL","50"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k4.log","meta","A_FP_ON_MQA_ON","4","META","15","serve_cmd","vllm serve /mnt/ky2307909/siyuan.tong/Qwen3-8B --gpu-memory-utilization 0.90 --max-model-len 8192 --served-model-name qwen3-8B --trust-remote-code --port 8000 --host 127.0.0.1 --enforce-eager --speculative-config \{\""method\"":\""draft_model\""\,\""model\"":\""/mnt/ky2307909/siyuan.tong/Qwen3-0-6B\""\,\""num_speculative_tokens\"":4\} "
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k4.log","meta","A_FP_ON_MQA_ON","4","META","16","bench_cmd","vllm bench serve --model qwen3-8B --tokenizer /mnt/ky2307909/siyuan.tong/Qwen3-8B --base-url http://127.0.0.1:8000 --endpoint-type vllm --dataset-name sharegpt --dataset-path /mnt/ky2307909/siyuan.tong/dataset/ShareGPT_V3_unfiltered_cleaned_split.json --num-prompts 200 --request-rate 16 --trust-remote-code "
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k8.log","meta","A_FP_ON_MQA_ON","8","META","1","date","2026-03-11 18:37:13"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k8.log","meta","A_FP_ON_MQA_ON","8","META","2","suite","A_FP_ON_MQA_ON"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k8.log","meta","A_FP_ON_MQA_ON","8","META","3","k","8"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k8.log","meta","A_FP_ON_MQA_ON","8","META","4","MODEL_PATH","/mnt/ky2307909/siyuan.tong/Qwen3-8B"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k8.log","meta","A_FP_ON_MQA_ON","8","META","5","DRAFT_MODEL_PATH","/mnt/ky2307909/siyuan.tong/Qwen3-0-6B"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k8.log","meta","A_FP_ON_MQA_ON","8","META","6","DATASET_PATH","/mnt/ky2307909/siyuan.tong/dataset/ShareGPT_V3_unfiltered_cleaned_split.json"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k8.log","meta","A_FP_ON_MQA_ON","8","META","7","HOST","127.0.0.1"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k8.log","meta","A_FP_ON_MQA_ON","8","META","7","PORT","8000"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k8.log","meta","A_FP_ON_MQA_ON","8","META","8","NUM_PROMPTS","200"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k8.log","meta","A_FP_ON_MQA_ON","8","META","8","REQUEST_RATE","16"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k8.log","meta","A_FP_ON_MQA_ON","8","META","9","VLLM_ASCEND_SPEC_GPU_MULTI_STEP_BACKENDS","FLASH_ATTN,ASCEND"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k8.log","meta","A_FP_ON_MQA_ON","8","META","10","VLLM_ASCEND_SPEC_MQA_BACKENDS","FLASH_ATTN,ASCEND"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k8.log","meta","A_FP_ON_MQA_ON","8","META","11","VLLM_ASCEND_BASE_STAGE_LOG_ENABLE","1"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k8.log","meta","A_FP_ON_MQA_ON","8","META","12","VLLM_ASCEND_BASE_STAGE_LOG_INTERVAL","50"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k8.log","meta","A_FP_ON_MQA_ON","8","META","13","VLLM_ASCEND_RUNNER_STAGE_LOG_ENABLE","1"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k8.log","meta","A_FP_ON_MQA_ON","8","META","14","VLLM_ASCEND_RUNNER_STAGE_LOG_INTERVAL","50"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k8.log","meta","A_FP_ON_MQA_ON","8","META","15","serve_cmd","vllm serve /mnt/ky2307909/siyuan.tong/Qwen3-8B --gpu-memory-utilization 0.90 --max-model-len 8192 --served-model-name qwen3-8B --trust-remote-code --port 8000 --host 127.0.0.1 --enforce-eager --speculative-config \{\""method\"":\""draft_model\""\,\""model\"":\""/mnt/ky2307909/siyuan.tong/Qwen3-0-6B\""\,\""num_speculative_tokens\"":8\} "
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k8.log","meta","A_FP_ON_MQA_ON","8","META","16","bench_cmd","vllm bench serve --model qwen3-8B --tokenizer /mnt/ky2307909/siyuan.tong/Qwen3-8B --base-url http://127.0.0.1:8000 --endpoint-type vllm --dataset-name sharegpt --dataset-path /mnt/ky2307909/siyuan.tong/dataset/ShareGPT_V3_unfiltered_cleaned_split.json --num-prompts 200 --request-rate 16 --trust-remote-code "
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k2.log","meta","B_FP_ON_MQA_OFF","2","META","1","date","2026-03-11 18:41:13"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k2.log","meta","B_FP_ON_MQA_OFF","2","META","2","suite","B_FP_ON_MQA_OFF"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k2.log","meta","B_FP_ON_MQA_OFF","2","META","3","k","2"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k2.log","meta","B_FP_ON_MQA_OFF","2","META","4","MODEL_PATH","/mnt/ky2307909/siyuan.tong/Qwen3-8B"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k2.log","meta","B_FP_ON_MQA_OFF","2","META","5","DRAFT_MODEL_PATH","/mnt/ky2307909/siyuan.tong/Qwen3-0-6B"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k2.log","meta","B_FP_ON_MQA_OFF","2","META","6","DATASET_PATH","/mnt/ky2307909/siyuan.tong/dataset/ShareGPT_V3_unfiltered_cleaned_split.json"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k2.log","meta","B_FP_ON_MQA_OFF","2","META","7","HOST","127.0.0.1"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k2.log","meta","B_FP_ON_MQA_OFF","2","META","7","PORT","8000"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k2.log","meta","B_FP_ON_MQA_OFF","2","META","8","NUM_PROMPTS","200"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k2.log","meta","B_FP_ON_MQA_OFF","2","META","8","REQUEST_RATE","16"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k2.log","meta","B_FP_ON_MQA_OFF","2","META","9","VLLM_ASCEND_SPEC_GPU_MULTI_STEP_BACKENDS","FLASH_ATTN,ASCEND"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k2.log","meta","B_FP_ON_MQA_OFF","2","META","10","VLLM_ASCEND_SPEC_MQA_BACKENDS","FLASH_ATTN"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k2.log","meta","B_FP_ON_MQA_OFF","2","META","11","VLLM_ASCEND_BASE_STAGE_LOG_ENABLE","1"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k2.log","meta","B_FP_ON_MQA_OFF","2","META","12","VLLM_ASCEND_BASE_STAGE_LOG_INTERVAL","50"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k2.log","meta","B_FP_ON_MQA_OFF","2","META","13","VLLM_ASCEND_RUNNER_STAGE_LOG_ENABLE","1"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k2.log","meta","B_FP_ON_MQA_OFF","2","META","14","VLLM_ASCEND_RUNNER_STAGE_LOG_INTERVAL","50"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k2.log","meta","B_FP_ON_MQA_OFF","2","META","15","serve_cmd","vllm serve /mnt/ky2307909/siyuan.tong/Qwen3-8B --gpu-memory-utilization 0.90 --max-model-len 8192 --served-model-name qwen3-8B --trust-remote-code --port 8000 --host 127.0.0.1 --enforce-eager --speculative-config \{\""method\"":\""draft_model\""\,\""model\"":\""/mnt/ky2307909/siyuan.tong/Qwen3-0-6B\""\,\""num_speculative_tokens\"":2\} "
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k2.log","meta","B_FP_ON_MQA_OFF","2","META","16","bench_cmd","vllm bench serve --model qwen3-8B --tokenizer /mnt/ky2307909/siyuan.tong/Qwen3-8B --base-url http://127.0.0.1:8000 --endpoint-type vllm --dataset-name sharegpt --dataset-path /mnt/ky2307909/siyuan.tong/dataset/ShareGPT_V3_unfiltered_cleaned_split.json --num-prompts 200 --request-rate 16 --trust-remote-code "
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k4.log","meta","B_FP_ON_MQA_OFF","4","META","1","date","2026-03-11 18:45:49"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k4.log","meta","B_FP_ON_MQA_OFF","4","META","2","suite","B_FP_ON_MQA_OFF"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k4.log","meta","B_FP_ON_MQA_OFF","4","META","3","k","4"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k4.log","meta","B_FP_ON_MQA_OFF","4","META","4","MODEL_PATH","/mnt/ky2307909/siyuan.tong/Qwen3-8B"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k4.log","meta","B_FP_ON_MQA_OFF","4","META","5","DRAFT_MODEL_PATH","/mnt/ky2307909/siyuan.tong/Qwen3-0-6B"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k4.log","meta","B_FP_ON_MQA_OFF","4","META","6","DATASET_PATH","/mnt/ky2307909/siyuan.tong/dataset/ShareGPT_V3_unfiltered_cleaned_split.json"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k4.log","meta","B_FP_ON_MQA_OFF","4","META","7","HOST","127.0.0.1"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k4.log","meta","B_FP_ON_MQA_OFF","4","META","7","PORT","8000"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k4.log","meta","B_FP_ON_MQA_OFF","4","META","8","NUM_PROMPTS","200"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k4.log","meta","B_FP_ON_MQA_OFF","4","META","8","REQUEST_RATE","16"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k4.log","meta","B_FP_ON_MQA_OFF","4","META","9","VLLM_ASCEND_SPEC_GPU_MULTI_STEP_BACKENDS","FLASH_ATTN,ASCEND"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k4.log","meta","B_FP_ON_MQA_OFF","4","META","10","VLLM_ASCEND_SPEC_MQA_BACKENDS","FLASH_ATTN"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k4.log","meta","B_FP_ON_MQA_OFF","4","META","11","VLLM_ASCEND_BASE_STAGE_LOG_ENABLE","1"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k4.log","meta","B_FP_ON_MQA_OFF","4","META","12","VLLM_ASCEND_BASE_STAGE_LOG_INTERVAL","50"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k4.log","meta","B_FP_ON_MQA_OFF","4","META","13","VLLM_ASCEND_RUNNER_STAGE_LOG_ENABLE","1"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k4.log","meta","B_FP_ON_MQA_OFF","4","META","14","VLLM_ASCEND_RUNNER_STAGE_LOG_INTERVAL","50"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k4.log","meta","B_FP_ON_MQA_OFF","4","META","15","serve_cmd","vllm serve /mnt/ky2307909/siyuan.tong/Qwen3-8B --gpu-memory-utilization 0.90 --max-model-len 8192 --served-model-name qwen3-8B --trust-remote-code --port 8000 --host 127.0.0.1 --enforce-eager --speculative-config \{\""method\"":\""draft_model\""\,\""model\"":\""/mnt/ky2307909/siyuan.tong/Qwen3-0-6B\""\,\""num_speculative_tokens\"":4\} "
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k4.log","meta","B_FP_ON_MQA_OFF","4","META","16","bench_cmd","vllm bench serve --model qwen3-8B --tokenizer /mnt/ky2307909/siyuan.tong/Qwen3-8B --base-url http://127.0.0.1:8000 --endpoint-type vllm --dataset-name sharegpt --dataset-path /mnt/ky2307909/siyuan.tong/dataset/ShareGPT_V3_unfiltered_cleaned_split.json --num-prompts 200 --request-rate 16 --trust-remote-code "
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k8.log","meta","B_FP_ON_MQA_OFF","8","META","1","date","2026-03-11 18:50:33"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k8.log","meta","B_FP_ON_MQA_OFF","8","META","2","suite","B_FP_ON_MQA_OFF"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k8.log","meta","B_FP_ON_MQA_OFF","8","META","3","k","8"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k8.log","meta","B_FP_ON_MQA_OFF","8","META","4","MODEL_PATH","/mnt/ky2307909/siyuan.tong/Qwen3-8B"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k8.log","meta","B_FP_ON_MQA_OFF","8","META","5","DRAFT_MODEL_PATH","/mnt/ky2307909/siyuan.tong/Qwen3-0-6B"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k8.log","meta","B_FP_ON_MQA_OFF","8","META","6","DATASET_PATH","/mnt/ky2307909/siyuan.tong/dataset/ShareGPT_V3_unfiltered_cleaned_split.json"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k8.log","meta","B_FP_ON_MQA_OFF","8","META","7","HOST","127.0.0.1"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k8.log","meta","B_FP_ON_MQA_OFF","8","META","7","PORT","8000"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k8.log","meta","B_FP_ON_MQA_OFF","8","META","8","NUM_PROMPTS","200"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k8.log","meta","B_FP_ON_MQA_OFF","8","META","8","REQUEST_RATE","16"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k8.log","meta","B_FP_ON_MQA_OFF","8","META","9","VLLM_ASCEND_SPEC_GPU_MULTI_STEP_BACKENDS","FLASH_ATTN,ASCEND"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k8.log","meta","B_FP_ON_MQA_OFF","8","META","10","VLLM_ASCEND_SPEC_MQA_BACKENDS","FLASH_ATTN"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k8.log","meta","B_FP_ON_MQA_OFF","8","META","11","VLLM_ASCEND_BASE_STAGE_LOG_ENABLE","1"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k8.log","meta","B_FP_ON_MQA_OFF","8","META","12","VLLM_ASCEND_BASE_STAGE_LOG_INTERVAL","50"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k8.log","meta","B_FP_ON_MQA_OFF","8","META","13","VLLM_ASCEND_RUNNER_STAGE_LOG_ENABLE","1"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k8.log","meta","B_FP_ON_MQA_OFF","8","META","14","VLLM_ASCEND_RUNNER_STAGE_LOG_INTERVAL","50"
