"data_group","file_name","file_path","extension","source_kind","suite_from_name","k_from_name","size_bytes","line_count","last_write_time","sha256"
"A&B","server_A_FP_ON_MQA_ON_k4.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\server_A_FP_ON_MQA_ON_k4.log",".log","server","A_FP_ON_MQA_ON","4","642236","908","2026-03-11 18:37:09","F438616FB0990E694F1B18EFE0D2ACCA4D003B37F24FD9CC013A7F79BDA0C577"
"A&B","server_A_FP_ON_MQA_ON_k8.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\server_A_FP_ON_MQA_ON_k8.log",".log","server","A_FP_ON_MQA_ON","8","639944","893","2026-03-11 18:40:51","B5D929BEC4E9F14826BC2CD4446AC633C9BE4632E1073729F9B031F91B2CB47C"
"A&B","server_B_FP_ON_MQA_OFF_k2.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\server_B_FP_ON_MQA_OFF_k2.log",".log","server","B_FP_ON_MQA_OFF","2","656241","998","2026-03-11 18:45:44","D1DCF7E07CB946244339F06E2E2C7A9B2B2719EAEAD1D7949E226E0747610AFA"
"A&B","server_B_FP_ON_MQA_OFF_k4.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\server_B_FP_ON_MQA_OFF_k4.log",".log","server","B_FP_ON_MQA_OFF","4","657801","1005","2026-03-11 18:50:29","6FBC6EBCC08BCA4909C5527CD1A39364452FEF4557A4CDC6E3840D912BC7DE74"
"A&B","server_B_FP_ON_MQA_OFF_k8.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\server_B_FP_ON_MQA_OFF_k8.log",".log","server","B_FP_ON_MQA_OFF","8","657770","1006","2026-03-11 18:55:06","2267B931CA8C3AFA537F949A311CF9684F7A6DA2F65B820757408C17C8A14AE8"
"A&B","summary.csv","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\summary.csv",".csv","summary","",,"681","8","2026-03-11 18:56:55","C6F4C2E3CF26C6D8999F6AB21052D43A24D62C41F56EF92E47A35EE53F2FD229"
"C&D","bench_C_FP_OFF_MQA_ON_k2.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\bench_C_FP_OFF_MQA_ON_k2.log",".log","bench","C_FP_OFF_MQA_ON","2","14182","185","2026-03-11 19:07:14","30AA5C7EE994DBBD264183E0FABA41C3FE8C22567420173630346AB354653E64"
"C&D","bench_C_FP_OFF_MQA_ON_k4.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\bench_C_FP_OFF_MQA_ON_k4.log",".log","bench","C_FP_OFF_MQA_ON","4","13780","180","2026-03-11 19:10:39","D5750E2BB9BF92434E8AC469FF3A76237802D4E8128844166D70AEBDED3C3E61"
"C&D","bench_C_FP_OFF_MQA_ON_k8.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\bench_C_FP_OFF_MQA_ON_k8.log",".log","bench","C_FP_OFF_MQA_ON","8","13452","174","2026-03-11 19:14:06","0989327A99ECF8105108F8D325E8BC0487E3B5AEC2D72D7DB2DFFCC632AFA570"
"C&D","bench_D_FP_OFF_MQA_OFF_k2.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\bench_D_FP_OFF_MQA_OFF_k2.log",".log","bench","D_FP_OFF_MQA_OFF","2","13692","176","2026-03-11 19:18:21","C87A01CE1F9B4D3BE902AE2F76E2C9937C185993F9ECEDC382057D180CE7273D"
"C&D","bench_D_FP_OFF_MQA_OFF_k4.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\bench_D_FP_OFF_MQA_OFF_k4.log",".log","bench","D_FP_OFF_MQA_OFF","4","13724","177","2026-03-11 19:22:15","19E5A1DFD879E09138A26884ECC27E701B98DAFCA73C2D7EFBF7C1AACACBC6A6"
"C&D","bench_D_FP_OFF_MQA_OFF_k8.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\bench_D_FP_OFF_MQA_OFF_k8.log",".log","bench","D_FP_OFF_MQA_OFF","8","13365","171","2026-03-11 19:26:15","9E108007507422F0D412121D7D10FA396C5BD3DE967CA329D85266DF59B68707"
"C&D","key_C_FP_OFF_MQA_ON_k2.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\key_C_FP_OFF_MQA_ON_k2.log",".log","key","C_FP_OFF_MQA_ON","2","35990","138","2026-03-11 19:07:18","F111CDE749B9FA9DB10977D1760B1FF86A9433E8CBC848531A420F177585AC7F"
"C&D","key_C_FP_OFF_MQA_ON_k4.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\key_C_FP_OFF_MQA_ON_k4.log",".log","key","C_FP_OFF_MQA_ON","4","29282","107","2026-03-11 19:10:43","7EC2D199DE6D43FC1A0754AE69A48DC17889FF4DDBDF77902562B5AFE7326DFD"
"C&D","key_C_FP_OFF_MQA_ON_k8.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\key_C_FP_OFF_MQA_ON_k8.log",".log","key","C_FP_OFF_MQA_ON","8","28075","103","2026-03-11 19:14:10","EF95539A7D582A6956213E1CCC3A1C37BC18B0768D076633196A074659F96FD6"
"C&D","key_D_FP_OFF_MQA_OFF_k2.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\key_D_FP_OFF_MQA_OFF_k2.log",".log","key","D_FP_OFF_MQA_OFF","2","38471","147","2026-03-11 19:18:25","DBE9FF12A59D8B6595EA911A3AB10BB593FF10C3853C1EE7F9349C006D702A4B"
"C&D","key_D_FP_OFF_MQA_OFF_k4.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\key_D_FP_OFF_MQA_OFF_k4.log",".log","key","D_FP_OFF_MQA_OFF","4","36249","135","2026-03-11 19:22:19","8B3F13F9733C24D9742E3D58E899BC38C19FDABC4D9FBD6DC5D38C6FF5E1BBDD"
"C&D","key_D_FP_OFF_MQA_OFF_k8.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\key_D_FP_OFF_MQA_OFF_k8.log",".log","key","D_FP_OFF_MQA_OFF","8","36100","133","2026-03-11 19:26:19","2BA31B57EDB681D3940BFE2C257F6786D870C627A38A9018BDF85BC08712E3E6"
"C&D","meta_C_FP_OFF_MQA_ON_k2.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\meta_C_FP_OFF_MQA_ON_k2.log",".log","meta","C_FP_OFF_MQA_ON","2","1323","16","2026-03-11 19:04:59","CD0DC8F6BA5DBC9E7701C6CB3550BD6639D631C174ACAEEEE2D1246216568E7B"
"C&D","meta_C_FP_OFF_MQA_ON_k4.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\meta_C_FP_OFF_MQA_ON_k4.log",".log","meta","C_FP_OFF_MQA_ON","4","1323","16","2026-03-11 19:08:31","B44924DA5BC754B87A929F3775C03B792D7861546B2DA60352556919600B8413"
"C&D","meta_C_FP_OFF_MQA_ON_k8.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\meta_C_FP_OFF_MQA_ON_k8.log",".log","meta","C_FP_OFF_MQA_ON","8","1323","16","2026-03-11 19:12:02","DA5A91252A266F42A4367B5FD2FED0AEA25262C7DDF1A03B8D0BBBF6371496C0"
"C&D","meta_D_FP_OFF_MQA_OFF_k2.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\meta_D_FP_OFF_MQA_OFF_k2.log",".log","meta","D_FP_OFF_MQA_OFF","2","1317","16","2026-03-11 19:15:50","CEF20DCAEA0034AC84F708F491B808E51910E3FAE6C6D042FDD26FC2117A60A1"
"C&D","meta_D_FP_OFF_MQA_OFF_k4.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\meta_D_FP_OFF_MQA_OFF_k4.log",".log","meta","D_FP_OFF_MQA_OFF","4","1317","16","2026-03-11 19:19:45","A48DAD4BC1A4038D2820102FEDE7A918F2DBDC0BC0D9BB46746772DF76CCC110"
"C&D","meta_D_FP_OFF_MQA_OFF_k8.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\meta_D_FP_OFF_MQA_OFF_k8.log",".log","meta","D_FP_OFF_MQA_OFF","8","1317","16","2026-03-11 19:23:36","F7E70549979830A020FDE9CB85AB36CAF380C8CF006CC665D908C5C447B3DB30"
"C&D","probe_C_FP_OFF_MQA_ON.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\probe_C_FP_OFF_MQA_ON.log",".log","probe","C_FP_OFF_MQA_ON",,"2605","27","2026-03-11 19:03:36","B1EAA1A4DC16678C353191941EDD0B42147A86897869169A9323AEB0DBA190EC"
"C&D","probe_D_FP_OFF_MQA_OFF.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\probe_D_FP_OFF_MQA_OFF.log",".log","probe","D_FP_OFF_MQA_OFF",,"2598","27","2026-03-11 19:14:26","045C7197FB17FBDC9A8C9E1B924685861179D983D0DFD0C6148B912E80E355DD"
"C&D","server_C_FP_OFF_MQA_ON_k2.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\server_C_FP_OFF_MQA_ON_k2.log",".log","server","C_FP_OFF_MQA_ON","2","641639","903","2026-03-11 19:07:15","2E9AE05CD198D7076D5972239369D5787EEA4D3AB0DDE4983256381B554DC16D"
"C&D","server_C_FP_OFF_MQA_ON_k4.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\server_C_FP_OFF_MQA_ON_k4.log",".log","server","C_FP_OFF_MQA_ON","4","640028","892","2026-03-11 19:10:40","A8C4BE84DEA5BE5191D01AE05B7DA8806BA82FF0C42E79A328032184766560C1"
"C&D","server_C_FP_OFF_MQA_ON_k8.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\server_C_FP_OFF_MQA_ON_k8.log",".log","server","C_FP_OFF_MQA_ON","8","638011","878","2026-03-11 19:14:07","2A217A82729DD7CF2613F71A58606D9E0BFE40DE50DA7B5102F23399311CCC3D"
"C&D","server_D_FP_OFF_MQA_OFF_k2.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\server_D_FP_OFF_MQA_OFF_k2.log",".log","server","D_FP_OFF_MQA_OFF","2","644107","917","2026-03-11 19:18:22","3538CBBF6881EB0517CB619868CFFF26623F49FE0132E110AA70DD9EBFEE240F"
"C&D","server_D_FP_OFF_MQA_OFF_k4.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\server_D_FP_OFF_MQA_OFF_k4.log",".log","server","D_FP_OFF_MQA_OFF","4","646217","930","2026-03-11 19:22:16","6CDC90D6E2BE803D265ADF5DE3BEA025EFBE691D3ECB4FA88A7A1FA2294C949A"
"C&D","server_D_FP_OFF_MQA_OFF_k8.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\server_D_FP_OFF_MQA_OFF_k8.log",".log","server","D_FP_OFF_MQA_OFF","8","647771","939","2026-03-11 19:26:16","FAEAE2DF211DA0532D5D700B4C4982716E7B748DA8A9D70608DFE20D8E0B6E24"
"C&D","summary.csv","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\summary.csv",".csv","summary","",,"656","7","2026-03-11 19:26:19","BD18FEC213234DCF7955A6A8DDDC119A8B232B747C619B2F81A563C9238A048C"
"no_spec","bench_NO_SPEC_k0.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\no_spec\bench_NO_SPEC_k0.log",".log","bench","NO_SPEC","0","14192","185","2026-03-11 19:30:17","56983F4535BEDBB109EC14DB7C141A55FC6ADD9895CE9DCD9CC7D4B5AE3774A0"
"no_spec","key_NO_SPEC_k0.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\no_spec\key_NO_SPEC_k0.log",".log","key","NO_SPEC","0","8034","24","2026-03-11 19:30:21","927B9980FE3C4D6B33779EAA3FE5F740A24A0AAD0F67CA428C2A4BDAE2415B56"
"no_spec","meta_NO_SPEC_k0.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\no_spec\meta_NO_SPEC_k0.log",".log","meta","NO_SPEC","0","1187","16","2026-03-11 19:28:38","0FA4A9DC502078C1DBF91199132DA30F4E9763DB57C671985619872CE59CC673"
"no_spec","probe_NO_SPEC.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\no_spec\probe_NO_SPEC.log",".log","probe","NO_SPEC",,"2612","27","2026-03-11 19:26:59","212498511D3598C76B87D34BBAC5486D4357593A7B6AA448BC3B29E1445A012C"
"no_spec","server_NO_SPEC_k0.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\no_spec\server_NO_SPEC_k0.log",".log","server","NO_SPEC","0","616986","739","2026-03-11 19:30:18","418283F002F83AD0BED62079B950F1018526EB2916D94AD05DD7F124F00B5438"
"no_spec","summary.csv","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\no_spec\summary.csv",".csv","summary","",,"237","2","2026-03-11 19:30:21","3DF6D4D5AA8CDCDAC1529D4C48B6678D5B39D2919A564A30B5D29033CEB78BEB"
